,d,fit_time,score,score_time,t,w
0,256,75.93448729515076,0.7333055088647668,0.16535525321960448,10,5
1,256,73.75251202583313,0.7592899004997485,0.18296427726745607,10,8
2,256,77.59387497901916,0.7706006781354564,0.30500097274780275,10,10
3,256,77.23524918556214,0.7427697017461607,0.1796041965484619,20,5
4,256,74.96673135757446,0.7706097622027323,0.1780485153198242,20,8
5,256,76.92618398666382,0.7775596506215744,0.18009281158447266,20,10
6,256,78.70727758407592,0.7379443167261239,0.18282527923583985,30,5
7,256,75.69084663391114,0.7731395081052306,0.19118881225585938,30,8
8,256,74.94862728118896,0.7794153839520662,0.18025970458984375,30,10
9,512,149.2859577655792,0.7255685264130188,0.1917165756225586,10,5
10,512,142.43141779899597,0.7563710433734941,0.18337645530700683,10,8
11,512,142.2136326313019,0.7769041207960763,0.18725085258483887,10,10
12,512,148.5510040283203,0.7461366158041522,0.1895909309387207,20,5
13,512,145.31791033744813,0.7735348183404007,0.18722748756408691,20,8
14,512,143.40723395347595,0.7842484077936753,0.18710060119628907,20,10
15,512,153.7847279548645,0.7423523818740858,0.19399666786193848,30,5
16,512,147.0985157966614,0.7779491034333956,0.19185953140258788,30,8
17,512,145.7832884311676,0.7850821176443331,0.1928248882293701,30,10
18,768,228.80714964866638,0.7299574805561889,0.20195770263671875,10,5
19,768,221.04608564376832,0.7563699753163916,0.2061925411224365,10,8
20,768,250.09637417793274,0.7771014850536339,0.28402152061462405,10,10
21,768,254.87516865730285,0.7503176363719364,0.19286317825317384,20,5
22,768,260.6124767780304,0.7767043888225661,0.234999418258667,20,8
23,768,327.59468784332273,0.7890373122421458,0.3336760997772217,20,10
24,768,271.26235485076904,0.7450711863591365,0.2136702060699463,30,5
25,768,293.9505488395691,0.772302207959823,0.35466737747192384,30,8
26,768,233.67421355247498,0.7878014185864873,0.17786316871643065,30,10
